Date,Product,Category,Quantity,Price_per_unit,Total_value,Region,Costs
2023-01-01,Mouse,Peripherals,5,99,495,Los Angeles,305
2023-01-01,Mouse,Peripherals,4,59,236,Chicago,156
2023-01-01,Processor,Components,3,405,1215,Phoenix,834
2023-01-01,USB drive,Equipment,2,38,76,Houston,50
2023-01-01,Case,Components,9,132,1188,Chicago,720
2023-01-01,Headphones,Peripherals,6,76,456,Philadelphia,312
2023-01-01,Web Camera,Peripherals,10,101,1010,Philadelphia,680
2023-01-01,Headphones,Peripherals,7,357,2499,Chicago,1561
2023-01-01,SSD,Equipment,9,373,3357,New York,2196
2023-01-01,Web Camera,Peripherals,2,63,126,San Diego,76
2023-01-01,USB drive,Equipment,6,55,330,Chicago,222
2023-01-01,Web Camera,Peripherals,3,113,339,Phoenix,204
2023-01-01,SSD,Equipment,3,256,768,New York,480
2023-01-02,Laptop,Computers,7,1397,9779,Chicago,6580
2023-01-02,Keyboard,Peripherals,6,221,1326,Houston,846
2023-01-02,Keyboard,Peripherals,10,94,940,New York,580
2023-01-02,Keyboard,Peripherals,7,66,462,Philadelphia,273
2023-01-02,Case,Components,4,127,508,New York,312
2023-01-03,Processor,Components,5,451,2255,Philadelphia,1435
2023-01-03,Headphones,Peripherals,5,350,1750,San Diego,1150
2023-01-03,USB drive,Equipment,1,51,51,San Antonio,32
2023-01-03,Keyboard,Peripherals,10,74,740,Chicago,470
2023-01-03,Keyboard,Peripherals,6,102,612,Los Angeles,396
2023-01-03,Web Camera,Peripherals,6,124,744,Philadelphia,486
2023-01-03,SSD,Equipment,7,492,3444,Houston,2093
2023-01-03,Keyboard,Peripherals,6,117,702,Houston,420
2023-01-04,USB drive,Equipment,4,90,360,Los Angeles,224
2023-01-04,USB drive,Equipment,4,36,144,Los Angeles,84
2023-01-04,Headphones,Peripherals,6,114,684,Houston,474
2023-01-04,Mouse,Peripherals,5,35,175,New York,115
2023-01-04,Power Supply,Components,10,163,1630,San Antonio,1000
2023-01-04,SSD,Equipment,9,372,3348,Los Angeles,2259
2023-01-04,Graphic Card,Components,1,1093,1093,Los Angeles,739
2023-01-04,Case,Components,6,82,492,Los Angeles,336
2023-01-04,RAM memory,Components,5,298,1490,Chicago,965
2023-01-05,Processor,Components,6,779,4674,Los Angeles,2844
2023-01-05,Web Camera,Peripherals,7,128,896,Philadelphia,539
2023-01-05,Mouse,Peripherals,5,128,640,New York,435
2023-01-05,Case,Components,2,67,134,San Diego,84
2023-01-05,SSD,Equipment,1,363,363,San Diego,251
2023-01-06,USB drive,Equipment,4,52,208,New York,124
2023-01-06,USB drive,Equipment,4,26,104,New York,68
2023-01-06,Processor,Components,9,769,6921,Phoenix,4779
2023-01-06,Hard disc,Equipment,3,138,414,San Antonio,252
2023-01-06,Headphones,Peripherals,9,367,3303,San Antonio,2106
2023-01-06,SSD,Equipment,8,489,3912,New York,2464
2023-01-06,Graphic Card,Components,7,1262,8834,San Diego,5369
2023-01-06,Web Camera,Peripherals,3,152,456,Los Angeles,288
2023-01-06,Web Camera,Peripherals,7,195,1365,Los Angeles,889
2023-01-07,Mouse,Peripherals,3,22,66,Phoenix,42
2023-01-07,Graphic Card,Components,7,338,2366,Philadelphia,1421
2023-01-07,USB drive,Equipment,6,89,534,Philadelphia,336
2023-01-07,Case,Components,7,33,231,Philadelphia,140
2023-01-07,Keyboard,Peripherals,9,117,1053,San Diego,648
2023-01-07,Motherboard,Components,3,457,1371,Phoenix,879
2023-01-07,Hard disc,Equipment,2,65,130,New York,88
2023-01-07,Monitor,Components,7,679,4753,Philadelphia,3038
2023-01-07,Graphic Card,Components,8,972,7776,Los Angeles,4896
2023-01-07,Hard disc,Equipment,1,144,144,San Antonio,89
2023-01-07,Mouse,Peripherals,6,107,642,New York,408
2023-01-07,Web Camera,Peripherals,1,184,184,Chicago,127
2023-01-07,Headphones,Peripherals,4,207,828,Los Angeles,536
2023-01-08,RAM memory,Components,1,224,224,San Diego,149
2023-01-08,Web Camera,Peripherals,4,179,716,Phoenix,448
2023-01-08,Headphones,Peripherals,9,297,2673,San Antonio,1728
2023-01-08,USB drive,Equipment,7,61,427,Los Angeles,294
2023-01-08,Monitor,Components,7,263,1841,San Diego,1260
2023-01-08,Power Supply,Components,3,114,342,San Diego,219
2023-01-08,Motherboard,Components,7,248,1736,Philadelphia,1057
2023-01-08,Hard disc,Equipment,7,94,658,Houston,399
2023-01-09,RAM memory,Components,6,259,1554,San Antonio,948
2023-01-09,Keyboard,Peripherals,6,119,714,Chicago,432
2023-01-09,Web Camera,Peripherals,4,124,496,Phoenix,324
2023-01-09,Keyboard,Peripherals,7,151,1057,Los Angeles,665
2023-01-10,Hard disc,Equipment,10,194,1940,Los Angeles,1350
2023-01-10,Processor,Components,6,928,5568,Philadelphia,3528
2023-01-10,Power Supply,Components,3,93,279,San Diego,174
2023-01-11,Laptop,Computers,10,1166,11660,Chicago,7260
2023-01-11,Hard disc,Equipment,7,86,602,Philadelphia,406
2023-01-11,USB drive,Equipment,9,27,243,Los Angeles,153
2023-01-11,Web Camera,Peripherals,3,80,240,New York,162
